   Compiling busel-burn v0.1.0 (/home/sehaxe/busel-ai/burn_migration)
warning: function `col_norm_fused` is never used
  --> src/cube/mod.rs:20:8
   |
20 | pub fn col_norm_fused<B: burn::tensor::backend::Backend, const D: usize>(
   |        ^^^^^^^^^^^^^^
   |
   = note: `#[warn(dead_code)]` (part of `#[warn(unused)]`) on by default

warning: `busel-burn` (bin "busel-burn") generated 1 warning
    Finished `release` profile [optimized] target(s) in 4m 09s
     Running `target/release/busel-burn vorobey --bs 256 --cs 256 --steps 2594 --clip 1.0`
[busel-burn] tui-full requires a terminal — running without TUI
[tr] step 94/2594 loss 10.5625000000 lr 0.0021860465
[tr] step 95/2594 loss 10.6875000000 lr 0.0022093023
[tr] step 96/2594 loss 10.5000000000 lr 0.0022325581
[tr] step 97/2594 loss 10.5000000000 lr 0.0022558140
[tr] step 98/2594 loss 10.5000000000 lr 0.0022790698
[tr] step 99/2594 loss 10.4375000000 lr 0.0023023256
[tm] step 100 avg 82.3ms/step
[tr] step 100/2594 loss 10.4375000000 lr 0.0023255814
[tr] step 101/2594 loss 10.4375000000 lr 0.0023488372
[tr] step 102/2594 loss 10.3750000000 lr 0.0023720930
[tr] step 103/2594 loss 10.4375000000 lr 0.0023953488
[tr] step 104/2594 loss 10.4375000000 lr 0.0024186047
[tr] step 105/2594 loss 10.6875000000 lr 0.0024418605
[tr] step 106/2594 loss 10.4375000000 lr 0.0024651163
[tr] step 107/2594 loss 10.3750000000 lr 0.0024883721
[tr] step 108/2594 loss 10.5625000000 lr 0.0025116279
[tr] step 109/2594 loss 10.4375000000 lr 0.0025348837
[tr] step 110/2594 loss 10.4375000000 lr 0.0025581395
[tr] step 111/2594 loss 10.4375000000 lr 0.0025813953
[tr] step 112/2594 loss 10.3750000000 lr 0.0026046512
[tr] step 113/2594 loss 10.4375000000 lr 0.0026279070
[tr] step 114/2594 loss 10.4375000000 lr 0.0026511628
[tr] step 115/2594 loss 10.4375000000 lr 0.0026744186
[tr] step 116/2594 loss 10.3750000000 lr 0.0026976744
[tr] step 117/2594 loss 10.3750000000 lr 0.0027209302
[tr] step 118/2594 loss 10.4375000000 lr 0.0027441860
[tr] step 119/2594 loss 10.6250000000 lr 0.0027674419
[tr] step 120/2594 loss 10.3750000000 lr 0.0027906977
[tr] step 121/2594 loss 10.3750000000 lr 0.0028139535
[tr] step 122/2594 loss 10.3750000000 lr 0.0028372093
[tr] step 123/2594 loss 10.3750000000 lr 0.0028604651
